"id","domain","capability","status","impact","backstory_evidence","n8n_evidence","finding"
"CFG-15","configuration","Node parameter type system","partial","high","src/lib/flows/graph.ts; src/components/flows/step-drawer.tsx","packages/workflow/src/interfaces.ts","n8n declares 25 property types; Backstory uses hand-built per-node forms and does not implement the full metadata-driven system."
"CFG-16","configuration","Display conditions and dependencies","partial","high","src/components/flows/step-drawer.tsx","packages/workflow/src/interfaces.ts","Backstory forms conditionally render known fields but cannot consume arbitrary displayOptions or parameter dependencies from node metadata."
"CFG-17","configuration","Dynamic loadOptions and listSearch","partial","high","src/lib/flows/resource-locator.ts; src/components/flows/tool-args-editor.tsx","packages/workflow/src/interfaces.ts","Tool schemas can list identifiers heuristically; generic node fields cannot declare n8n loadOptions/listSearch methods."
"CFG-18","configuration","Resource locator","partial","high","src/lib/flows/resource-locator.ts","packages/workflow/src/interfaces.ts","Backstory offers pick-from-earlier/list/enter for inferred identifier fields but lacks explicit per-property modes and metadata."
"CFG-19","configuration","Resource mapper","gap","high","src/components/flows/tool-args-editor.tsx","packages/workflow/src/interfaces.ts","No generic schema-aware resourceMapper for external table/object columns."
"CFG-20","configuration","Nested fixed collections","partial","medium","src/lib/flows/tool-schema.ts; src/components/flows/tool-args-editor.tsx","packages/workflow/src/interfaces.ts","Backstory parses JSON Schema but nested object/array tool arguments fall back to JSON text instead of recursively structured controls."
"CFG-21","configuration","Credential selector metadata","partial","high","src/components/flows/step-drawer.tsx; src/app/api/http-credentials","packages/workflow/src/interfaces.ts","Backstory selects integration/MCP/HTTP credentials through separate node forms rather than credential type metadata."
"CFG-22","configuration","cURL import","gap","low","src/components/flows/step-drawer.tsx","packages/workflow/src/interfaces.ts","No cURL-import parameter editor for HTTP requests."
"CFG-23","configuration","Node documentation and version warnings","gap","medium","src/components/flows/step-drawer.tsx","packages/frontend/editor-ui/src/features/ndv","No node-specific version history upgrade warning and documentation panel comparable to n8n."
"CFG-24","configuration","Output schema and data picker","partial","high","src/lib/flows/graph.ts; src/components/flows/data-tree.tsx","packages/frontend/editor-ui/src/features/ndv","Backstory supports declared fields and recorded outputs but not n8n's universal item/binary schema and expression data proxy."
"NODE-01","core nodes","Manual schedule webhook triggers","strong","high","src/lib/flows/trigger.ts","packages/nodes-base/nodes/ManualTrigger; packages/nodes-base/nodes/Schedule; packages/nodes-base/nodes/Webhook","Core trigger categories exist; detailed parameters are covered separately."
"NODE-02","core nodes","Provider event triggers","partial","high","src/lib/flows/trigger.ts; src/lib/signals; src/lib/activity","packages/nodes-base/nodes","Backstory has generic activity poll Slack and webhook triggers but not the declared provider-specific trigger catalogue."
"NODE-03","core nodes","Error trigger","partial","medium","src/lib/signals/map.ts","packages/nodes-base/nodes/ErrorTrigger","flow.failed can trigger another flow but n8n error-workflow context and workflow setting are not reproduced exactly."
"NODE-04","core nodes","Form and form trigger","gap","high","src/lib/flows/trigger.ts","packages/nodes-base/nodes/Form","No hosted form builder submission trigger or form resume node."
"NODE-05","core nodes","Chat trigger","partial","medium","prisma/schema.prisma; src/app/agents/page.tsx","packages/@n8n/nodes-langchain/nodes/trigger","Backstory has agent chat sessions but not an n8n-compatible workflow chat trigger configuration."
"NODE-06","core nodes","SSE trigger","gap","medium","src/lib/flows/trigger.ts","packages/nodes-base/nodes/SseTrigger","No server-sent-event trigger."
"NODE-07","core nodes","Respond to Webhook","partial","high","src/lib/flows/graph.ts; src/app/api/flows/[id]/trigger/route.ts","packages/nodes-base/nodes/RespondToWebhook","Backstory output and last-node response cover common cases but not a mid-flow response node with all response options."
"NODE-08","core nodes","HTTP Request","partial","high","src/features/flows/http.ts; src/lib/flows/graph.ts; src/features/flows/execute-flow.ts","packages/nodes-base/nodes/HttpRequest","Strong HTTP support exists but SSL credentials arbitrary pagination parameter updates proxy ignore-SSL output-placement and several option modes are missing."
"NODE-09","core nodes","Merge","partial","high","src/lib/flows/merge.ts; src/lib/flows/graph.ts","packages/nodes-base/nodes/Merge","Backstory lacks SQL mode choose-branch semantics multi-field and different-field matching fuzzy compare clash policy deep merge and full output-selection behavior."
"NODE-10","core nodes","Wait","partial","high","src/lib/flows/wait.ts; src/lib/flows/graph.ts","packages/nodes-base/nodes/Wait","Duration date and webhook waits exist; form submission inbound basic auth suffix response and richer limit-wait options do not."
"NODE-11","core nodes","If Switch Filter","partial","medium","src/features/flows/context.ts; src/features/flows/interpret.ts","packages/nodes-base/nodes/If; packages/nodes-base/nodes/Switch; packages/nodes-base/nodes/Filter","Core behavior exists with 19 flat operators; n8n's type-specific operator/coercion settings are broader."
"NODE-12","core nodes","Set and data transforms","partial","high","src/lib/flows/data-ops.ts; src/lib/flows/graph.ts","packages/nodes-base/nodes/Set; packages/nodes-base/nodes/Transform","Backstory has 28 data operations but does not reproduce every item-list and transform parameter/version behavior."
"NODE-13","core nodes","Compare Datasets","gap","medium","src/lib/flows/data-ops.ts","packages/nodes-base/nodes/CompareDatasets","No first-class changed/same/only-in-input dataset comparison outputs."
"NODE-14","core nodes","Data Tables","gap","high","prisma/schema.prisma","packages/cli/src/modules/data-table; packages/nodes-base/nodes/DataTable","No permanent cross-execution table product row/column CRUD CSV import/export permissions or Data Table node."
"NODE-15","core nodes","File and binary operations","partial","high","src/lib/flows/file-ref.ts; prisma/schema.prisma","packages/nodes-base/nodes/Files; packages/core/src/binary-data","Stored files upload download CSV PDF and text parsing exist without n8n's binary item channel and operation breadth."
"NODE-16","core nodes","Spreadsheet operations","partial","medium","src/lib/flows/data-ops.ts; src/lib/flows/import/from-n8n.ts","packages/nodes-base/nodes/SpreadsheetFile","CSV is native; XLS XLSX ODS fidelity and spreadsheet-file configuration are missing."
"NODE-17","core nodes","Compression and archives","gap","medium","src/lib/flows/data-ops.ts","packages/nodes-base/nodes/Compression","No archive compress/decompress node."
"NODE-18","core nodes","Crypto JWT and TOTP utilities","gap","medium","src/lib/flows/data-ops.ts","packages/nodes-base/nodes/Crypto; packages/nodes-base/nodes/Jwt; packages/nodes-base/nodes/Totp","No workflow nodes for these deterministic utilities."
"NODE-19","core nodes","FTP SFTP and SSH","gap","medium","src/lib/flows/graph.ts","packages/nodes-base/nodes/Ftp; packages/nodes-base/nodes/Ssh","No first-class remote file or SSH execution nodes."
"NODE-20","core nodes","Execute Command","intentional-divergence","medium","src/features/flows/code-runner.ts","packages/nodes-base/nodes/ExecuteCommand","Backstory intentionally denies child processes and host command execution."
"NODE-21","core nodes","Database nodes","gap","high","src/lib/flows/graph.ts","packages/nodes-base/nodes","HTTP/MCP may provide indirect reach but there are no first-class query transaction insert/update parameter or credential surfaces."
"NODE-22","core nodes","Messaging and queue nodes","gap","medium","src/lib/flows/graph.ts","packages/nodes-base/nodes","No native broker consumers producers or trigger semantics."
"NODE-23","core nodes","Email RSS calendar and file-system utility triggers","gap","medium","src/lib/flows/trigger.ts","packages/nodes-base/nodes","Generic poll/webhook workarounds do not reproduce protocol-specific state and credentials."
"NODE-24","core nodes","Subworkflow execution","partial","high","src/features/flows/execute-flow.ts; src/lib/flows/graph.ts","packages/nodes-base/nodes/ExecuteWorkflow","Published child execution named inputs outputs and depth caps exist; caller policy and item mapping differ."
"NODE-25","core nodes","Evaluation and simulation nodes","gap","medium","src/lib/eval","packages/nodes-base/nodes/Evaluation; packages/nodes-base/nodes/Simulate","Backstory has developer eval scripts but no workflow-authored evaluation or simulation node surface."
"INT-01","integrations","Declared integration node catalogue","gap","high","src/lib/nango/provider-tools.ts","packages/nodes-base/package.json","n8n declares 442 base node entrypoints; Backstory has 17 curated providers and 55 curated operations plus generic HTTP/MCP."
"INT-02","integrations","Declared AI node catalogue","partial","high","src/features/agents; src/lib/flows/graph.ts","packages/@n8n/nodes-langchain/package.json","n8n declares 122 LangChain node entrypoints; Backstory consolidates AI into agent AI knowledge and tool steps with non-identical configuration."
"INT-03","integrations","Credential type catalogue","gap","high","prisma/schema.prisma; src/lib/nango; src/lib/mcp","packages/nodes-base/package.json; packages/@n8n/nodes-langchain/package.json","n8n declares 445 credential types; Backstory does not reproduce their field schemas tests OAuth variants or operation bindings."
"INT-04","integrations","Curated provider operation depth","partial","high","src/lib/nango/provider-tools.ts","packages/nodes-base/nodes","The supported provider overlap is useful but only a small operation subset and cannot be called node parity."
"INT-05","integrations","Provider-specific trigger depth","gap","high","src/lib/flows/trigger.ts","packages/nodes-base/nodes","Backstory activity poll and webhook are generic abstractions without each n8n trigger's event filters state and credentials."
"INT-06","integrations","Generic HTTP escape hatch","strong","medium","src/features/flows/http.ts; src/features/flows/execute-flow.ts","packages/nodes-base/nodes/HttpRequest","Both can call arbitrary APIs; this is reachability rather than first-class parity."
"INT-07","integrations","MCP escape hatch","strong","medium","src/lib/mcp/mcp-client.ts","packages/@n8n/nodes-langchain/nodes/mcp","Backstory can discover and invoke user-added MCP tools with encrypted auth."
"INT-08","integrations","Community package installation","intentional-divergence","medium","package.json","packages/cli/src/modules/community-packages","Backstory does not install untrusted npm node packages at runtime."
"INT-09","integrations","Custom node SDK","gap","medium","src/lib/flows/graph.ts","packages/workflow; packages/node-dev; packages/@n8n/workflow-sdk","No external node authoring packaging versioning loading or testing contract."
"INT-10","integrations","Type availability policies","gap","medium","src/lib/flows/builtin-catalog.ts","packages/cli/src/modules/type-availability-policies","No admin rules for allow/deny availability of node or credential types."
"ED-01","editor","Free canvas pan zoom connect move","strong","high","src/components/flows/canvas/graph-canvas.tsx","packages/frontend/editor-ui/src/app/components/WorkflowCanvasHost.vue","Core visual graph manipulation is present."
"ED-02","editor","Marquee multi-select copy paste","strong","medium","src/components/flows/canvas/graph-canvas.tsx","packages/frontend/editor-ui/src/app/composables/useCanvasOperations.ts","Present in both editors."
"ED-03","editor","Minimap fit and tidy layout","strong","low","src/components/flows/canvas/graph-canvas.tsx","packages/frontend/editor-ui/src/app","Present in both editors."
"ED-04","editor","Live collaborative editing","strong","medium","src/lib/flows/use-jam-channel.ts; src/components/flows/canvas/graph-canvas.tsx","packages/frontend/editor-ui/src/features/collaboration","Backstory exposes live cursor/drag collaboration in the canvas."
"ED-05","editor","Metadata-driven node detail view","partial","high","src/components/flows/step-drawer.tsx","packages/frontend/editor-ui/src/features/ndv","Backstory's large hand-authored drawer cannot render arbitrary n8n property definitions."
"ED-06","editor","Input output table JSON inspection","strong","high","src/components/flows/structured-value-view.tsx; src/components/flows/run-panel.tsx","packages/frontend/editor-ui/src/features/ndv","Backstory provides structured table/JSON search and raw/rendered output views."
"ED-07","editor","Data mapping and expression preview","partial","high","src/components/flows/data-tree.tsx; src/features/flows/context.ts","packages/frontend/editor-ui/src/features/ndv","Backstory has a data tree and tokens but not the full expression editor preview item selection or proxy environment."
"ED-08","editor","Pin and edit mock data","strong","high","src/lib/flows/graph.ts; src/components/flows/step-drawer.tsx","packages/frontend/editor-ui/src/app/stores/workflowDocument/useWorkflowDocumentPinData.ts","Workflow pin data and per-run overrides are supported."
"ED-09","editor","Partial node execution","strong","high","src/features/flows/interpret.ts; src/components/flows/step-drawer.tsx","packages/frontend/editor-ui/src/app/composables/useNodeExecution.ts","Backstory can execute to a selected node and substitute earlier state."
"ED-10","editor","Fork run and edit intermediate state","strong","medium","src/lib/flows/state-overrides.ts; src/components/flows/run-panel.tsx","packages/frontend/editor-ui/src/features/execution","Backstory stores per-run stateOverrides and offers fork-with-edits controls."
"ED-11","editor","Global execution filters","partial","medium","src/app/api/flows/runs/route.ts; src/components/flows/execution-log.tsx","packages/frontend/editor-ui/src/features/execution/executions/components/ExecutionsFilter.vue","Backstory filters status with pagination; n8n also filters workflow mode date custom data annotation tags and ratings."
"ED-12","editor","Execution annotations ratings and tags","gap","medium","prisma/schema.prisma","packages/frontend/editor-ui/src/features/execution/executions/components/workflow/WorkflowExecutionAnnotationPanel.ee.vue","No execution vote tag or annotation data model/UI."
"ED-13","editor","Execution custom metadata","gap","low","prisma/schema.prisma","packages/frontend/editor-ui/src/features/execution","No node-authored custom execution data searchable in history."
"ED-14","editor","Retry original versus saved workflow","partial","medium","src/components/flows/run-panel.tsx; src/lib/flows/state-overrides.ts","packages/frontend/editor-ui/src/features/execution/executions/components/global/GlobalExecutionsList.vue","Backstory can rerun/fork from snapshots but does not expose n8n's exact original-versus-current retry lineage contract."
"ED-15","editor","Live execution logs and per-step I/O","strong","high","src/components/flows/run-panel.tsx; src/lib/flows/run-stream.ts","packages/frontend/editor-ui/src/features/execution/logs","Both surface running/finished step state; detail formats differ."
"ED-16","editor","Draft publish versions and restore","strong","high","prisma/schema.prisma; src/app/api/flows/[id]/versions","packages/frontend/editor-ui/src/app/stores/history.store.ts","Backstory keeps draft snapshots published versions summaries and restore."
"ED-17","editor","Definition review gate","strong","high","prisma/schema.prisma; src/app/api/flows/[id]/review","packages/cli/src/modules/workflow-reviews.ee","Backstory has two-person approval tied to a submitted graph snapshot and publish fingerprint."
"ED-18","editor","Workflow templates","partial","medium","src/lib/flows/templates","packages/frontend/editor-ui/src/features/workflows/templates","Built-in community and generated templates exist; n8n's catalogue breadth and metadata differ."
"ED-19","editor","n8n workflow import","partial","high","src/lib/flows/import/from-n8n.ts","packages/@n8n/workflow-sdk; packages/workflow/src/interfaces.ts","Importer deeply maps core and AI patterns but drops cycles warns on expressions and stubs unsupported apps; it is not lossless."
"ED-20","editor","n8n workflow export","partial","medium","src/lib/flows/export/to-n8n.ts","packages/@n8n/workflow-sdk","Export covers Backstory constructs but cannot create exact schemas for missing n8n nodes and semantics."
"ED-21","editor","Programmatic workflow SDK","gap","medium","src/lib/flows/graph.ts","packages/@n8n/workflow-sdk","No public fluent typed builder codegen JSON round-trip CLI lint or generated node typings."
"AI-01","AI and agents","Single-turn AI operations","strong","high","src/lib/flows/graph.ts; src/features/flows/execute-flow.ts","packages/@n8n/nodes-langchain/nodes/chains","Ask extract categorize summarize and score cover common deterministic AI steps."
"AI-02","AI and agents","Tool-using agent runtime","partial","high","src/features/agents/execute-agent.ts","packages/cli/src/modules/agents; packages/@n8n/agents","Backstory has a substantial durable agent runtime but not n8n's complete SDK/provider/channel/eval surface."
"AI-03","AI and agents","Model provider breadth","gap","high","src/lib/llm/model-runner.ts","packages/@n8n/nodes-langchain/nodes/llms","Backstory directly supports a small model set compared with n8n's 24 declared LLM entrypoints."
"AI-04","AI and agents","Agent tools and MCP","partial","high","src/features/agents/execute-agent.ts; src/lib/mcp","packages/@n8n/agents; packages/@n8n/nodes-langchain/nodes/tools","Strong generic tool reach exists without node-for-node tool configuration and provider breadth."
"AI-05","AI and agents","Conversation memory","partial","high","prisma/schema.prisma; src/features/agents/execute-agent.ts","packages/@n8n/nodes-langchain/nodes/memory; packages/@n8n/agents","Backstory persists memory and windowed step sessions but maps named Redis MongoDB and Xata stores onto Postgres."
"AI-06","AI and agents","Subagents","strong","high","src/features/agents/execute-agent.ts","packages/@n8n/agents","Backstory supports bounded subagents cycle prevention budgets and durable transcripts."
"AI-07","AI and agents","Approvals guardrails and egress controls","strong","high","src/features/agents/execute-agent.ts; src/lib/security; prisma/schema.prisma","packages/@n8n/agents","Backstory has write approvals AI egress policy exfiltration guards prompt-injection fencing and replay controls integrated into the runtime."
"AI-08","AI and agents","Prompt caching","partial","medium","src/lib/llm/model-runner.ts","packages/@n8n/agents","Anthropic caching exists but provider-wide cache configuration and coverage differ."
"AI-09","AI and agents","Vector-store nodes","partial","medium","src/lib/rag; src/lib/knowledge","packages/@n8n/nodes-langchain/nodes/vector_store","Backstory offers platform knowledge search and graph RAG but not 24 replaceable vector-store node entrypoints and their operations."
"AI-10","AI and agents","Embeddings retrievers rerankers splitters loaders","partial","medium","src/lib/rag; src/lib/knowledge","packages/@n8n/nodes-langchain/nodes","Backstory internalizes these stages and exposes few controls; n8n exposes separate configurable nodes."
"AI-11","AI and agents","Output parsers and guardrail nodes","partial","medium","src/features/flows/agent-response.ts; src/lib/security","packages/@n8n/nodes-langchain/nodes/output_parser; packages/@n8n/nodes-langchain/nodes/Guardrails","Structured output and runtime safety exist without pluggable sub-node contracts."
"AI-12","AI and agents","External agent channels","partial","high","src/lib/slack; prisma/schema.prisma","packages/cli/src/modules/agents/integrations/platforms","Backstory has Slack bindings; n8n additionally implements Telegram Linear Discord and n8n chat channel adapters."
"AI-13","AI and agents","Unified Chat Hub","partial","medium","prisma/schema.prisma; src/app/agents/page.tsx","packages/cli/src/modules/chat-hub; packages/@n8n/chat-hub","Backstory agent chat sessions are not a provider/model/workflow hub with enabled tool sets regenerate edit stop and hub-wide conversation APIs."
"AI-14","AI and agents","Chat file attachments","gap","medium","prisma/schema.prisma","packages/cli/src/modules/chat-hub/chat-hub.attachment.service.ts","No equivalent per-message 200MB attachment storage policy and model MIME validation in agent chat."
"AI-15","AI and agents","Agent evaluation product","partial","medium","src/lib/eval","packages/cli/src/modules/agent-evals","Backstory has scripted nightly RAG and benchmark evals but no per-agent dataset case generation run comparison rating and UI product."
"AI-16","AI and agents","Agent telemetry SDK","partial","medium","prisma/schema.prisma; src/features/agents/execute-agent.ts","packages/@n8n/agents","Backstory persists detailed events and costs without the same public telemetry hooks and tracing integrations."
"AI-17","AI and agents","Public agent SDK","gap","medium","src/features/agents/execute-agent.ts","packages/@n8n/agents","Backstory's runtime is internal and has no fluent Agent Tool Memory Guardrail MCP Eval SDK package."
"AI-18","AI and agents","Flow copilot","partial","high","src/lib/flows/copilot-ops.ts; src/app/api/flows/copilot","packages/cli/src/modules/instance-ai; packages/@n8n/instance-ai","Backstory performs grounded graph operations; n8n Instance AI covers workflows executions credentials data tables research docs nodes workspace files and verification orchestration."
"AI-19","AI and agents","Copilot verification and simulation","gap","high","src/app/api/flows/copilot","packages/@n8n/instance-ai; packages/cli/src/modules/instance-ai","Backstory validates graph shape but lacks n8n's broader tool/task/checkpoint/simulation verification loop."
"AI-20","AI and agents","Computer Use and browser automation","gap","high","src/features/agents/execute-agent.ts","packages/@n8n/computer-use; packages/@n8n/local-gateway; packages/@n8n/mcp-browser-extension; packages/cli/src/modules/instance-ai/browser","Backstory has no user-device gateway capability negotiation filesystem shell browser extension CDP relay screenshot or mouse-keyboard tool surface."
"MCP-01","MCP","Consume MCP servers","strong","high","src/lib/mcp/mcp-client.ts; src/lib/mcp/oauth-authcode.ts","packages/@n8n/nodes-langchain/nodes/mcp","Backstory supports discovery Streamable HTTP tool listing invocation API-key client-credentials and authorization-code client auth."
"MCP-02","MCP","Serve workflows as MCP tools","partial","high","src/app/api/mcp/route.ts","packages/cli/src/modules/mcp","Backstory exposes published flows and run polling but n8n exposes a much larger management/build/execution/data-table tool surface."
"MCP-03","MCP","Current MCP protocol and transport","gap","high","src/lib/mcp/server/rpc.ts","packages/cli/src/modules/mcp/README.md","Backstory server fixes protocol 2024-11-05 and plain POST; n8n serves the 2026-07-28 revision with Streamable HTTP compatibility routing headers settings and scopes."
"MCP-04","MCP","MCP workflow availability settings","partial","medium","src/app/api/mcp/route.ts","packages/cli/src/modules/mcp/mcp.settings.service.ts","Authentication and published-only filtering exist without instance settings allowed redirects or per-workflow exposure controls."
"MCP-05","MCP","MCP management and builder tools","gap","medium","src/lib/mcp/server/tools.ts","packages/cli/src/modules/mcp/tools","No MCP tools for workflow CRUD versions folders credentials node exploration validation testing data tables or agent references."
"MCP-06","MCP","MCP registry","gap","low","src/lib/mcp","packages/cli/src/modules/mcp-registry","No registry that synthesizes node type definitions from built-in custom and community nodes."
